매장명,리뷰,label,댓글 수,가중치,호감도,가중치_호감도
꼭그닭 강남점,메인메뉴인 빠네도 맛있었고 수제맥주 종류가 다양 하고 안주 종류도 다양하게 즐길 수 있었어요 빠네에 들어가는 치즈 좋은거 쓰시는거같아요 식어도,긍정,56.0,3.042,0.9285714285714286,2.8247142857142857
꼭그닭 강남점,수제맥주 종류도 많고 맛있어서 너무 즐겁게 마시고 갑니당 피코치킨은 순살이고 여러가지맛을 맛볼 수 있어서 다양하게 먹기좋았어용 술이술술,긍정,56.0,3.042,0.9285714285714286,2.8247142857142857
꼭그닭 강남점,부모님과 한식뷔페가 먹고싶어 찾던중 맛집발견 귀 찮아서 이런거 잘안쓰는데 진짜 맛있네요 부모 님 나이가 있으셔서 간이 쎌까 걱정했는데 너무,긍정,56.0,3.042,0.9285714285714286,2.8247142857142857
꼭그닭 강남점,좋았어요,긍정,56.0,3.042,0.9285714285714286,2.8247142857142857
꼭그닭 강남점,빠네치킨 너무 맛있어요 수제맥주 다양해서 행복하고 직접 뽑아서 먹는 것도 재밌어요 다른 메뉴 먹으러 또 방문할게요,긍정,56.0,3.042,0.9285714285714286,2.8247142857142857
꼭그닭 강남점,국내최초 빠네 치킨 전문점이라고 해서 처음 방문한 뒤로 너무 맛있어서 계속 가고있어요 쭉 늘어나는 치 즈랑 로제 소스 궁합 최고조에 치킨이랑 빠네,긍정,56.0,3.042,0.9285714285714286,2.8247142857142857
꼭그닭 강남점,수제맥주가 정말 다양해서 술 골라먹는재미 피코치킨 가지맛으로 다양한 맛 체험 조명이예뻐서 데이트 재밌게하고왔습니다,긍정,56.0,3.042,0.9285714285714286,2.8247142857142857
꼭그닭 강남점,좋았어요,긍정,56.0,3.042,0.9285714285714286,2.8247142857142857
꼭그닭 강남점,와 여기 강남역 치킨은 꼭그닭입니다 빠네치킨 국물떡볶이 조합도 너무 좋고 무엇보다 치킨이 너무 맛있어요 로제크림이 살짝 깔려있고 치킨 위,긍정,56.0,3.042,0.9285714285714286,2.8247142857142857
꼭그닭 강남점,강남역맛집 꼭그닭 강남점 빠네키친 앤 맥주 퇴근스트레스 날러버러 여러 맥주 맛보는 재미까징 일하시는 분들도 친절하세용,긍정,56.0,3.042,0.9285714285714286,2.8247142857142857
꼭그닭 강남점,이번이 번째 방문 강남 멀어서 잘 안오는데 오면 거 의 방문하게 되네요 빠네치킨 주기적으로 생각납니 다 빠네치킨 언제 먹어도 맛있고 맥주 다양해,긍정,56.0,3.042,0.9285714285714286,2.8247142857142857
꼭그닭 강남점,가격대비 생각보다 양이 많습니다 맥주는 자기가 원하는 맛으로 카드 찍고 먹는 시스템이라 결제시에 빵하기두 편합니다,긍정,56.0,3.042,0.9285714285714286,2.8247142857142857
